45.96,74.68,146.48,197.53,265.6
47.92,75.646,144.96,209.78,296.2
49.88,76.611,143.44,222.02,326.8
51.84,77.577,141.92,234.27,357.4
53.8,78.543,140.4,246.51,388
55.76,79.509,138.88,258.76,418.6
57.72,80.474,137.36,271.01,449.2
59.68,81.44,135.84,283.25,479.8
61.64,82.406,134.32,295.5,510.4
63.6,83.371,132.8,307.74,541
65.56,84.337,131.28,319.99,571.6
67.52,85.303,129.76,332.23,602.2
69.48,86.269,128.24,344.48,632.8
71.44,87.234,126.72,356.73,663.4
73.4,88.2,125.2,368.97,694
75.36,89.166,123.68,381.22,724.6
77.32,90.131,122.16,393.46,755.2
79.28,91.097,120.64,405.71,785.8
81.24,92.063,119.12,417.95,816.4
83.2,93.029,117.6,430.2,847
85.16,93.994,116.08,442.45,877.6
87.12,94.96,114.56,454.69,908.2
89.08,95.926,113.04,466.94,938.8
91.04,96.891,111.52,479.18,969.4
93,97.857,110,491.43,1000
90.04,94.794,106.68,474.67,965.32
87.08,91.731,103.36,457.91,930.64
84.12,88.669,100.04,441.15,895.96
81.16,85.606,96.72,424.39,861.28
78.2,82.543,93.4,407.63,826.6
75.24,79.48,90.08,390.87,791.92
72.28,76.417,86.76,374.11,757.24
69.32,73.354,83.44,357.35,722.56
66.36,70.291,80.12,340.59,687.88
63.4,67.229,76.8,323.83,653.2
60.44,64.166,73.48,307.07,618.52
57.48,61.103,70.16,290.31,583.84
54.52,58.04,66.84,273.55,549.16
51.56,54.977,63.52,256.79,514.48
48.6,51.914,60.2,240.03,479.8
45.64,48.851,56.88,223.27,445.12
42.68,45.789,53.56,206.51,410.44
39.72,42.726,50.24,189.75,375.76
36.76,39.663,46.92,172.99,341.08
33.8,36.6,43.6,156.23,306.4
30.84,33.537,40.28,139.47,271.72
27.88,30.474,36.96,122.71,237.04
24.92,27.411,33.64,105.95,202.36
21.96,24.349,30.32,89.189,167.68
19,21.286,27,72.429,133
18.63,20.993,26.9,71.257,130.4
18.26,20.7,26.8,70.086,127.8
17.89,20.407,26.7,68.914,125.2
17.52,20.114,26.6,67.743,122.6
17.15,19.821,26.5,66.571,120
16.78,19.529,26.4,65.4,117.4
16.41,19.236,26.3,64.229,114.8
16.04,18.943,26.2,63.057,112.2
15.67,18.65,26.1,61.886,109.6
15.3,18.357,26,60.714,107
14.93,18.064,25.9,59.543,104.4
14.56,17.771,25.8,58.371,101.8
14.19,17.479,25.7,57.2,99.2
13.82,17.186,25.6,56.029,96.6
13.45,16.893,25.5,54.857,94
13.08,16.6,25.4,53.686,91.4
12.71,16.307,25.3,52.514,88.8
12.34,16.014,25.2,51.343,86.2
11.97,15.721,25.1,50.171,83.6
11.6,15.429,25,49,81
11.23,15.136,24.9,47.829,78.4
10.86,14.843,24.8,46.657,75.8
10.49,14.55,24.7,45.486,73.2
10.12,14.257,24.6,44.314,70.6
9.75,13.964,24.5,43.143,68
9.38,13.671,24.4,41.971,65.4
9.01,13.379,24.3,40.8,62.8
8.64,13.086,24.2,39.629,60.2
8.27,12.793,24.1,38.457,57.6
7.9,12.5,24,37.286,55
7.53,12.207,23.9,36.114,52.4
7.16,11.914,23.8,34.943,49.8
6.79,11.621,23.7,33.771,47.2
6.42,11.329,23.6,32.6,44.6
6.05,11.036,23.5,31.429,42
5.68,10.743,23.4,30.257,39.4
5.31,10.45,23.3,29.086,36.8
4.94,10.157,23.2,27.914,34.2
4.57,9.8643,23.1,26.743,31.6
4.2,9.5714,23,25.571,29
3.83,9.2786,22.9,24.4,26.4
3.46,8.9857,22.8,23.229,23.8
3.09,8.6929,22.7,22.057,21.2
2.72,8.4,22.6,20.886,18.6
2.35,8.1071,22.5,19.714,16
1.98,7.8143,22.4,18.543,13.4
1.61,7.5214,22.3,17.371,10.8
1.24,7.2286,22.2,16.2,8.2
0.87,6.9357,22.1,15.029,5.6
0.5,6.6429,22,13.857,3
